Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,Method of interaction:,Stakeholder type:,"Other, please specify::Stakeholder type:",Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify)::Event or distribution type:,"Army/DoD partners (includes CMA, AASC, Depot commanders):Number of participants:",Citizens' Advisory Commission members:Number of participants:,Congress and congressional staffers:Number of participants:,"Emergency Management (e.g. CSEPP, FEMA, etc.):Number of participants:",International community members:Number of participants:,Local community members:Number of participants:,Local elected officials:Number of participants:,Media:Number of participants:,Oversight agency members:Number of participants:,PEO ACWA Workforce members:Number of participants:,Regulatory agency members:Number of participants:,Other:Number of participants:,Date range of posting(s):,Facebook posts:Number of social media posting(s):,Tweets:Number of social media posting(s):,Instagram posts:Number of social media posting(s):,HQ Video:Number of social media posting(s):,Digital shorts:Number of social media posting(s):,"Digital communications (Flickr, Website updates and YouTube Uploads):Number of social media posting(s):",Name of video (if applicable):
117,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/1/17-1/31/17,,,,,,4,YouTube Uploads
118,Event or information distribution,,,,,,,Team Member 2,ACWA Public Interaction Report,2/1/17,Public interaction report,,32,,,,,,,,,18,,,,,,,,,,
119,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/13/17,,,,,,1,Website Article: Pilot Testing Resumes at Colorado Chemical Demilitarization Plant
120,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/23/17,,,,,,1,Website Article: Blue Grass Team Pressure Tests Plant Piping
121,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/23/17,,,,,,1,Website Article: Study: Off-Site Shipment of Hydrolysate Deemed Safe
122,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/27/17,,,,,,1,Website Article: Fluorescein Sheds Light on Decontamination Skills
123,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/30/17,,,,,,1,Website Article: Officials: Kentucky Depot Has Lasting Mission
124,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/30/17,,,,,,1,Website Article: Army Environmental Assessment Team Visits Blue Grass Plant
125,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/1/17,,,,,,1,Website Article: Comment Period Open for Pueblo Plant's Record of Environmental Consideration
126,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/25/17,,,,,,1,PCAPP REC Website Public Comment Form
127,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,2/1/17,,,,,,1,Website Destruction Graphic
128,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/25/17,,,,,,1,Website Destruction Graphic
129,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/18/17,,,,,,1,Website Destruction Graphic
130,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,01/01/2017-01/31/2017,44,115,37,,,,
131,Social media or web,,,,,,,,,,,,,,,,,,,,,,,,1/5/17,,,,,1,,ACWA Partners: ECBC
